rating,content
5,"Mới đặt đc 2 hôm mà nay đã nhận được hàng, trãi nghiệm cảm thấy khá ưng ý, cứ đánh giá tốt trước đã."
5,nhận được hàng trong vòng khoảng 1 tuần. Hàng nguyên hộp mới mẫu mã ổn trong tầm giá. Sử dụng chưa thấy vấn đề gì
4,"hàng ổn, có điều là không có phiếu bảo hành. mua kiểu này là hên xui."
5,Giao nhanh sản phẩm tốt full box nè shop uy tín lắm
5,Chời mình mua noc ngàn lẻ 1 lần cho chồng mình rùi ch bao g nhận hàng mà phải chê về chất lượng sản phẩm chỉ có sợ ko đúng size đồ thui… nc mua nhiều quá phải lên review cho shop cho 10đ vì giá phải chăng mà chất lượng toẹt vời như này!
2,"Hàng dùng được, tốc độ xử lý hơi chậm."
5,"Shop giao hành nhanh, hàng chính hãng, okla"
4,"Form áo của Noc luôn làm mình ấn tượng so với tầm giá cùng phân khúc, lên đứng form đẹp, che khuyết điểm chân nhe. Mong Noc có thêm nhiều sản phẩm chất lượng như vậy."
5,"giao hàng nhanh, 5 sao cho shop"
5,"Áo đẹp, chất kaki nhưng sớ vải rất lạ, đường may chỉnh chu, dáng cong rộng vừa phải ko quá thùng thình như các brand khác, đợt trước đặt nhưng sớn xát ko áp mã km nên buộc trả hàng r đặt lại đơn mới vì mình ưng và mặc hợp dáng áo này! Chất lượng thì chưa biết ntn nhưng tổng quan thì thấy áo đẹp trong tầm giá"
5,"Chất lượng vải tốt trong tầm giá Mặc đứng dáng. Khuyến nghị các bạn mua màu đen và màu xám, rất dễ phối đồ"
5,"Giá rẻ, from rộng rãu thoải mái,giao hàng nhanh, shiper thân thiện, mọi ng nên mua nhe!"
4,"hàng ổn, có điều là không có phiếu bảo hành. mua kiểu này là hên xui."
5,Giao nhanh sản phẩm tốt full box nè shop uy tín lắm
2,"??? Áo gì giặt 1 lần rút 6cm??? Mua thì vừa, giặt xong thành chật @@ trong video là 1 áo đã giặt vs 1 áo chưa giặt, cùng size
"
5,"Shop giao hành nhanh, hàng chính hãng, okla"
4,"giao hàng nhanh, hàng mới ok luôn"
5,"giao hàng nhanh, 5 sao cho shop"
5,"áo bận rất đã, chất lượng dày nhưng không bí, mặc vào tôn dáng, sẽ ủng hộ thêm"
5,"Ít khi đánh giá lắm nhưng lần này t sẽ đánh giá thật lòng nha. Lúc đầu mua t không kì vọng nhiều, ai ngờ nhận về đúng ổn luôn.
Về đóng gói: Khá kĩ, mở ra còn có giấy thơm, thơm tho sạch sẽ
Về sản phẩm: Chất liệu kaki nhưng lại khá mềm, lên form đẹp như trong hình. Có giấy hướng dẫn đổi trả nếu không hợp.
Nói chung là tốt với t á, còn bền hay không thì phải đợi t sài vài tháng thì mới biết được
T khuyến khích mua size theo vòng eo, còn về chiều dài áo này kia thì lên lai được.
Eo 75 mặc size L nha!"
1,"TÔI ĐANG KHIẾU NẠI VỚI TIKI, TRANG WEB TIKI VÀ SAMSUNG ĐỀU GHI SP NÀY XÀI CỦ SẠC 25W, TRONG KHI SHOP NÀY BÁN 15W(CỦ 15W CHỈ DÙNG CHO DÒNG GALAXY M31, DONG M32 NÀY XÀI CỦ 25W TO HƠN  VÀ MẮC TIỀN HƠN )
TÔI CẦN 1 LỜI GIẢI THÍCH RÕ RÀNG, YÊU CẦU TRẢ LẠI TIỀN
MỌI NGƯỜI KHÔNG TIN THÌ LÊN WEB SAMSUNG MÀ XEM"
1,"Đường may ko đc chỉnh chu, còn rất nhiều chỉ thừa, màu ko giống trong ảnh, rất không hài lòng."
5,"Giao hàng nhanh, sản phẩm nguyên seal, xài ổn. Dịch vụ giao hàng tiki rất tốt, mình mua  tặng người thân nên để nguyên  seal. Sau thời gian xài người dùng bảo máy ổn."
4,áo có 1 vết bẩn với giá này thì mình thấy ổn chất hơi mỏng k như áo bò suông mình vẫn mặc nhưng vẫn cho 4*
4,"Không hiểu vì sao mà đặt mua ngày 16/07/2022, trong khi bảo hành lại được kích hoạt quá sớm từ đầu tháng 5/2022."
5,"Mình mua cho người nhà, chất lượng tốt, mặc vừa vặn, mặt sau cũng có phong cách riêng, giao hàng đúng hạn."
5,"Giao hàng nhanh, mình mua cho Ba mình sử dụng thấy ok, giá săn sale ổn áp, hiện tại chưa thấy gì bất ổn."
4,"Giao hàng đúng như hình, còn nguyên tem, xài ok...Mong shop giữ uy tín mãi  như vậy, khách hàng có niềm tin sẽ ủng hộ lâu dài nhé!"
5,"áo đẹp, chất jean đẹp nha, mặc firm lên cũng chuẩn chỉnh luôn nhé, mình cao 1m68 nặng 63kg mặc vừa in sz M nhé, giá cả và chất lượng quá hợp lý"
5,áo xuất sắc lắm luôn á. Mình mua tặng Bồ mình á hong ngờ chất vải rất dày dặn và đẹp đến từng đường may. Bồ mình cao 1m78 nặng 62kg mặc dài đẹp vừa eo rất dễ thương
1,"TÔI ĐANG KHIẾU NẠI VỚI TIKI, TRÊN TRANG WEB TIKI VÀ SHOP ĐỀU MÔ TẢ SẢN PHẨM KHÁC HOÀN TOÀN SO VỚI THỰC TẾ NHẬN ĐƯỢC. HÌNH ẢNH VÀ THÔNG TIN GHI MỘT ĐẰNG NHƯNG SẢN PHẨM GIAO LẠI MỘT NẺO (CHẤT LIỆU/FORM/CHẤT LƯỢNG KHÔNG ĐÚNG NHƯ MÔ TẢ)."
1,Báo shop trả hàng. K vừa đổi lại M cho vừa ad kêu ck trc 50k kêu ship 2 chiều 50k ship trong khi đó TPHCM kế bên :)) quả làm ăn mau giàu lắm né shop này giúp nha
5,"Giao hàng nhanh, sản phẩm nguyên seal, xài ổn. Dịch vụ giao hàng tiki rất tốt, mình mua  tặng người thân. Sau thời gian xài người dùng bảo hàng ổn."
